r,accuracy
"[0.7238457798957825, 0.9596023559570312]"
"[0.47276440262794495, 0.9650914072990417]"
"[0.6860158443450928, 0.9612329006195068]"
"[0.794518232345581, 0.9597721695899963]"
"[0.6474202871322632, 0.957895815372467]"
"[0.5857899785041809, 0.9584824442863464]"
"[0.7269143462181091, 0.9596747159957886]"
"[0.785723865032196, 0.9624134302139282]"
"[0.7782713770866394, 0.9625223875045776]"
"[0.691596269607544, 0.9600511193275452]"
"[0.6279899477958679, 0.9614107012748718]"
"[0.55177241563797, 0.9627432227134705]"
"[0.444717675447464, 0.9617387652397156]"
"[0.6719385385513306, 0.9626026749610901]"
"[0.5072321891784668, 0.9643809199333191]"
"[0.5559202432632446, 0.9614953994750977]"
"[0.5937328934669495, 0.9616155028343201]"
"[0.4783412218093872, 0.9625199437141418]"
"[0.5652726888656616, 0.9623118042945862]"
"[0.9417603015899658, 0.9609418511390686]"
"[0.5927237272262573, 0.9598808288574219]"
"[0.5421210527420044, 0.9583065509796143]"
"[0.5525079369544983, 0.9614673256874084]"
"[0.4836346507072449, 0.9608354568481445]"
"[0.6632563471794128, 0.9601925015449524]"
"[0.9510635137557983, 0.961914598941803]"
"[0.6056382060050964, 0.9597839117050171]"
"[0.5417875051498413, 0.9612736701965332]"
"[0.561565637588501, 0.9624125957489014]"
"[0.5423417687416077, 0.960513174533844]"
"[0.4972647428512573, 0.9650723338127136]"
"[0.5765872001647949, 0.9590001106262207]"
"[0.5322974324226379, 0.9610092043876648]"
"[0.5785212516784668, 0.9641292095184326]"
"[0.522533655166626, 0.9624708890914917]"
"[0.7284130454063416, 0.959513247013092]"
"[0.49472829699516296, 0.9585258364677429]"
"[0.5069050192832947, 0.9639367461204529]"
"[0.6009367108345032, 0.9588744640350342]"
"[0.7331255078315735, 0.9547884464263916]"
"[0.6408054232597351, 0.9608124494552612]"
"[0.5400936603546143, 0.9626112580299377]"
"[0.6049906015396118, 0.9601532220840454]"
"[0.679319441318512, 0.9618656635284424]"
"[0.47389039397239685, 0.9608541131019592]"
"[0.7070288062095642, 0.9609806537628174]"
"[0.6774625778198242, 0.9619077444076538]"
"[0.6375049352645874, 0.960402250289917]"
"[0.638879120349884, 0.9591225385665894]"
"[0.5045256018638611, 0.9614787101745605]"
"[0.6518357396125793, 0.961266040802002]"
"[0.6916853189468384, 0.9629205465316772]"
"[0.5744056701660156, 0.9574302434921265]"
"[0.5068578124046326, 0.960725724697113]"
"[0.504534900188446, 0.9625527262687683]"
"[0.4810106158256531, 0.9600398540496826]"
"[0.7399806380271912, 0.959480345249176]"
"[0.5767165422439575, 0.9619826078414917]"
"[0.6935261487960815, 0.9620278477668762]"
"[0.7652179002761841, 0.96409010887146]"
"[0.5882403254508972, 0.9624514579772949]"
"[0.767372727394104, 0.9648473858833313]"
"[0.6716250777244568, 0.9597004652023315]"
"[0.6223945617675781, 0.9650120735168457]"
"[0.4688476026058197, 0.9619906544685364]"
"[0.7713162899017334, 0.9618055820465088]"
"[0.6486426591873169, 0.961904764175415]"
"[0.5859048962593079, 0.963005781173706]"
"[0.6366692185401917, 0.9630758166313171]"
"[0.518064022064209, 0.9606245160102844]"
"[0.623003363609314, 0.9602328538894653]"
"[0.7775105237960815, 0.9620499610900879]"
"[0.5265477895736694, 0.9627678394317627]"
"[0.5517860054969788, 0.9623925685882568]"
"[0.6603943109512329, 0.9604352116584778]"
"[0.5455256700515747, 0.9637258052825928]"
"[0.7376226186752319, 0.9624319076538086]"
"[0.6334980726242065, 0.961212158203125]"
"[0.5363404750823975, 0.9613587856292725]"
"[0.5729391574859619, 0.9618648290634155]"
"[0.6752408146858215, 0.9632537961006165]"
"[0.5624271631240845, 0.962976336479187]"
"[0.478672593832016, 0.9615210890769958]"
"[0.6614267230033875, 0.9626205563545227]"
"[0.4859091639518738, 0.9608245491981506]"
"[0.664739727973938, 0.9604910016059875]"
"[0.685869038105011, 0.958824098110199]"
"[0.6366141438484192, 0.9592975974082947]"
"[0.5631457567214966, 0.9626800417900085]"
"[0.5833658576011658, 0.9590712189674377]"
"[0.7278451323509216, 0.9581390023231506]"
"[0.489629328250885, 0.9623346328735352]"
"[0.6479771733283997, 0.9614870548248291]"
"[0.6644869446754456, 0.9627445340156555]"
"[0.5242486000061035, 0.9598393440246582]"
"[0.5852677226066589, 0.9644497036933899]"
"[0.4919165372848511, 0.9653617739677429]"
"[0.5923172235488892, 0.9608504176139832]"
"[0.7007296085357666, 0.9624940752983093]"
"[0.7367998361587524, 0.9616714119911194]"
"[0.6190088391304016, 0.9611529111862183]"
"[0.7490088939666748, 0.9573767185211182]"
"[0.5024029016494751, 0.9607071280479431]"
"[0.8187536001205444, 0.961931049823761]"
"[0.5609710812568665, 0.9619883298873901]"
"[0.6007976531982422, 0.9661016464233398]"
"[0.4783591330051422, 0.9616954326629639]"
"[0.5324714183807373, 0.9607725739479065]"
"[0.5034586787223816, 0.9621721506118774]"
"[0.8570697903633118, 0.9593030214309692]"
"[0.9480341672897339, 0.9604266285896301]"
"[0.6573824286460876, 0.9622378945350647]"
"[0.5549784898757935, 0.9598356485366821]"
"[0.8309788107872009, 0.9610039591789246]"
"[0.7349389791488647, 0.9614056348800659]"
"[0.45731407403945923, 0.9622104167938232]"
"[0.803961455821991, 0.9620406627655029]"
"[0.5523110628128052, 0.9597761631011963]"
"[0.44798004627227783, 0.9639816284179688]"
"[0.9293943643569946, 0.9636934399604797]"
"[0.5109097957611084, 0.9624565839767456]"
"[0.4878426790237427, 0.9603843092918396]"
"[0.6674311757087708, 0.9632644653320312]"
"[0.5547853112220764, 0.9619541764259338]"
"[0.5861829519271851, 0.9603580832481384]"
"[0.5864577293395996, 0.9611963629722595]"
"[0.5756030082702637, 0.9613341093063354]"
"[0.8627959489822388, 0.9633415937423706]"
"[0.9515161514282227, 0.9631341695785522]"
"[0.5950009822845459, 0.9618925452232361]"
"[0.6930906772613525, 0.9594506025314331]"
"[0.6408174633979797, 0.9602124691009521]"
"[0.6608946919441223, 0.962743878364563]"
"[0.6437598466873169, 0.9609410166740417]"
"[0.5909695029258728, 0.9633293151855469]"
"[0.718401312828064, 0.9622375965118408]"
"[0.48803043365478516, 0.9629049301147461]"
"[0.7156495451927185, 0.9629878997802734]"
"[0.5823796391487122, 0.962299108505249]"
"[0.5606022477149963, 0.9622659683227539]"
"[0.7100887298583984, 0.9647344946861267]"
"[0.5438432693481445, 0.9620862603187561]"
"[0.5185580253601074, 0.9610375165939331]"
"[0.7156323790550232, 0.9612172842025757]"
"[0.6498686671257019, 0.9618968367576599]"
"[0.737316906452179, 0.9619020223617554]"
"[0.7272756099700928, 0.9620451927185059]"
"[0.5842874050140381, 0.9604601263999939]"
"[0.5884239077568054, 0.9620423316955566]"
"[0.5952766537666321, 0.9599277973175049]"
"[0.4997572898864746, 0.9638455510139465]"
"[0.5792385339736938, 0.9609053730964661]"
"[0.6903607249259949, 0.9600130915641785]"
"[0.670356035232544, 0.9640011787414551]"
"[0.6488715410232544, 0.9625363349914551]"
"[0.9766241312026978, 0.9610389471054077]"
"[0.8623420596122742, 0.9633649587631226]"
"[0.6199238300323486, 0.9630241394042969]"
"[0.46854743361473083, 0.9637830853462219]"
"[0.6369062066078186, 0.9626244902610779]"
"[0.598673403263092, 0.9603729248046875]"
"[0.5855892300605774, 0.9610984325408936]"
"[0.5835241079330444, 0.9592295289039612]"
"[0.47797033190727234, 0.9615857601165771]"
"[0.6305814385414124, 0.9597329497337341]"
"[0.7234033346176147, 0.9622208476066589]"
"[0.562900960445404, 0.9618688821792603]"
"[1.1218175888061523, 0.9617907404899597]"
"[0.6274722218513489, 0.961907684803009]"
"[0.6396207809448242, 0.9618680477142334]"
"[0.5447495579719543, 0.9616661071777344]"
"[0.7401812076568604, 0.9620838761329651]"
"[0.5733489394187927, 0.9614725112915039]"
"[0.655573844909668, 0.9604635238647461]"
"[0.6276639699935913, 0.9641636610031128]"
"[0.5207901000976562, 0.9596496820449829]"
"[0.4640772342681885, 0.961189329624176]"
"[0.45429161190986633, 0.9610705375671387]"
"[0.7254196405410767, 0.958654522895813]"
"[0.7286907434463501, 0.9622754454612732]"
"[0.5686057209968567, 0.9635758996009827]"
"[0.5563517808914185, 0.9612909555435181]"
"[0.5454988479614258, 0.9614351391792297]"
"[0.7078309059143066, 0.9630426168441772]"
"[0.5054613947868347, 0.9625614881515503]"
"[0.6742889881134033, 0.963560938835144]"
"[0.8126928806304932, 0.9602784514427185]"
"[0.5570361614227295, 0.9605302810668945]"
"[0.5934997797012329, 0.9606857895851135]"
"[0.44143566489219666, 0.9620745182037354]"
"[0.6288442015647888, 0.9599083662033081]"
"[0.6579934358596802, 0.957211434841156]"
"[0.5950546860694885, 0.9602160453796387]"
"[0.5027164816856384, 0.9607506394386292]"
"[0.7749813795089722, 0.9618648290634155]"
"[0.707448422908783, 0.9627349376678467]"
"[0.6897057294845581, 0.9597371816635132]"
"[0.6474674344062805, 0.9631722569465637]"
"[0.4982023239135742, 0.9597429037094116]"
"[0.4689590632915497, 0.9619926810264587]"
"[0.6084409356117249, 0.9609497785568237]"
"[0.5164896249771118, 0.9633195400238037]"
"[0.685636579990387, 0.9615830183029175]"
"[0.6393205523490906, 0.9574540257453918]"
"[0.4672461450099945, 0.9625645875930786]"
"[0.6403225660324097, 0.9628289937973022]"
"[0.6420834064483643, 0.9601539373397827]"
"[0.7225117683410645, 0.9604790210723877]"
"[0.52978515625, 0.9578585624694824]"
"[0.8302682638168335, 0.9605059623718262]"
"[0.597064197063446, 0.9624611139297485]"
"[0.5539788603782654, 0.9608292579650879]"
"[0.5303479433059692, 0.962348461151123]"
"[0.8001508712768555, 0.9622235894203186]"
"[0.5013375282287598, 0.9604572653770447]"
"[0.48674172163009644, 0.9643178582191467]"
"[0.5096902251243591, 0.9625599980354309]"
"[0.6529204249382019, 0.9625350832939148]"
"[0.5328527688980103, 0.9616994261741638]"
"[0.6403382420539856, 0.9622395634651184]"
"[0.5631569623947144, 0.9668682813644409]"
"[0.5244477391242981, 0.9619604349136353]"
"[0.6631216406822205, 0.9595025181770325]"
"[0.5190773606300354, 0.9621972441673279]"
"[0.4508618712425232, 0.9628961086273193]"
"[0.6957222819328308, 0.9610496163368225]"
"[0.49153661727905273, 0.9636801481246948]"
"[0.6829760074615479, 0.9596707820892334]"
"[0.4522762894630432, 0.9622270464897156]"
"[0.450704425573349, 0.9605852365493774]"
"[0.6160640716552734, 0.9635329842567444]"
"[0.7395542860031128, 0.9613180756568909]"
"[0.7335867881774902, 0.9622700810432434]"
"[0.5286681056022644, 0.9611617922782898]"
"[0.8661863803863525, 0.9590550661087036]"
"[0.4701007902622223, 0.9574243426322937]"
"[0.6193872690200806, 0.9591984152793884]"
"[0.6368138194084167, 0.9579579830169678]"
"[0.6911352872848511, 0.9597683548927307]"
"[0.5053114891052246, 0.963483989238739]"
"[0.5037785172462463, 0.9615885615348816]"
"[0.6335195899009705, 0.9654279351234436]"
"[0.5183377265930176, 0.961266040802002]"
"[0.6573667526245117, 0.9625840187072754]"
"[0.5827876925468445, 0.9629854559898376]"
"[0.6730732917785645, 0.9610022306442261]"
"[0.5636979341506958, 0.961719274520874]"
"[0.57940274477005, 0.9591253399848938]"
"[0.8772845268249512, 0.9599313139915466]"
"[0.5799241065979004, 0.9620253443717957]"
"[0.8175409436225891, 0.9621000289916992]"
"[0.6267976760864258, 0.9643303155899048]"
"[0.7071750164031982, 0.9580668210983276]"
"[0.5756073594093323, 0.9589577913284302]"
"[0.591683566570282, 0.9614684581756592]"
"[0.49172618985176086, 0.9630233645439148]"
"[1.1080055236816406, 0.9611233472824097]"
"[0.5170987248420715, 0.9618529081344604]"
"[0.6380428075790405, 0.9638657569885254]"
"[0.414673388004303, 0.9629262089729309]"
"[0.7705912590026855, 0.9601784944534302]"
"[0.601697564125061, 0.9615975618362427]"
"[0.7408350706100464, 0.9616022706031799]"
"[0.641454815864563, 0.9607142806053162]"
"[0.5964096784591675, 0.9621809720993042]"
"[0.470405250787735, 0.9645649790763855]"
"[0.6364374160766602, 0.9626666307449341]"
"[0.6069638729095459, 0.9625027179718018]"
"[0.5949504375457764, 0.9626289010047913]"
"[0.9554953575134277, 0.9629155993461609]"
"[0.5765179991722107, 0.9625998735427856]"
"[0.5407592058181763, 0.9621875286102295]"
"[0.5837134122848511, 0.9638469219207764]"
"[0.6352598071098328, 0.9595648646354675]"
"[0.721964955329895, 0.9605571031570435]"
"[0.5751035213470459, 0.9617311954498291]"
"[0.6657537817955017, 0.9618166089057922]"
"[0.44916364550590515, 0.9621474742889404]"
"[0.5538862943649292, 0.9624413251876831]"
"[0.6048225164413452, 0.9626675844192505]"
"[0.6304924488067627, 0.9647025465965271]"
"[0.6740468740463257, 0.9625596404075623]"
"[0.49897825717926025, 0.9629084467887878]"
"[0.5047997236251831, 0.9605573415756226]"
"[0.7121736407279968, 0.9606197476387024]"
"[0.5414628982543945, 0.9611199498176575]"
"[0.5908908843994141, 0.957979679107666]"
"[0.6112166047096252, 0.9623379111289978]"
"[0.6975451707839966, 0.961929440498352]"
"[0.7484851479530334, 0.9609992504119873]"
"[0.8754152655601501, 0.9621601700782776]"
"[0.7648157477378845, 0.9635381698608398]"
"[0.5119357109069824, 0.9652025699615479]"
"[0.6296522617340088, 0.9632741808891296]"
"[0.5263758301734924, 0.9601302742958069]"
"[0.49323025345802307, 0.9645833373069763]"
"[0.4708749055862427, 0.9621575474739075]"
"[0.5338520407676697, 0.9594719409942627]"
"[0.5694183707237244, 0.9628502726554871]"
"[0.5195829272270203, 0.9633333683013916]"
"[0.5819830298423767, 0.9590206742286682]"
"[0.44739484786987305, 0.9611159563064575]"
"[0.5391853451728821, 0.9604425430297852]"
"[0.6247605681419373, 0.9585562944412231]"
"[0.7136090993881226, 0.9630839228630066]"
"[0.510138750076294, 0.9616142511367798]"
"[0.5805540084838867, 0.9624814987182617]"
"[0.6543433666229248, 0.9616913795471191]"
"[0.43829649686813354, 0.9621930122375488]"
"[0.5746884346008301, 0.9610752463340759]"
"[0.6909752488136292, 0.960752546787262]"
"[0.9345988035202026, 0.9605278372764587]"
"[0.6221741437911987, 0.9639694094657898]"
"[0.5604603886604309, 0.9623552560806274]"
"[0.718090295791626, 0.9621727466583252]"
"[0.558608889579773, 0.9639261364936829]"
"[0.5289686322212219, 0.9635372161865234]"
"[0.5721838474273682, 0.9588039517402649]"
"[0.6462785005569458, 0.9633157253265381]"
"[0.5815204381942749, 0.9628546237945557]"
"[0.6281960010528564, 0.9617689251899719]"
"[0.5615153312683105, 0.9627078175544739]"
"[0.5992451906204224, 0.9610074162483215]"
"[0.6851441860198975, 0.9604403376579285]"
"[0.5476698875427246, 0.96144038438797]"
"[0.5740486979484558, 0.961094856262207]"
"[0.6538118124008179, 0.9639965295791626]"
"[0.609265148639679, 0.9590436220169067]"
"[0.5348327159881592, 0.9618328213691711]"
"[0.47995707392692566, 0.9623740315437317]"
"[0.49869900941848755, 0.9615111947059631]"
"[0.4763829708099365, 0.9585990309715271]"
"[0.9683003425598145, 0.9630086421966553]"
"[0.7862218618392944, 0.9623745083808899]"
"[0.5158026218414307, 0.9595701694488525]"
"[0.6079435348510742, 0.961674690246582]"
"[0.6460366249084473, 0.9632858633995056]"
"[0.6738114356994629, 0.9609231948852539]"
"[0.6264978051185608, 0.9631516933441162]"
"[0.492731511592865, 0.9636131525039673]"
"[0.4782257080078125, 0.9619532227516174]"
"[0.5317088961601257, 0.9600491523742676]"
"[0.5343934893608093, 0.9604876041412354]"
"[0.5524594783782959, 0.9615716934204102]"
"[0.8450593948364258, 0.9626762270927429]"
"[0.571062445640564, 0.962796151638031]"
"[0.6484664678573608, 0.9616107940673828]"
"[0.5240710377693176, 0.9611073136329651]"
"[0.5756401419639587, 0.9607276320457458]"
"[0.5402072668075562, 0.9599670767784119]"
"[0.4913020730018616, 0.9639931321144104]"
"[0.5555393695831299, 0.9614012837409973]"
"[0.6747758388519287, 0.9606221318244934]"
"[0.6075525879859924, 0.9579038023948669]"
"[0.6699272394180298, 0.9602381587028503]"
"[0.5324593186378479, 0.9606459140777588]"
"[1.0003118515014648, 0.9633762240409851]"
"[0.6550319790840149, 0.9604988098144531]"
"[0.5293420553207397, 0.9609756469726562]"
"[0.6397566199302673, 0.9614760279655457]"
"[0.482893705368042, 0.9610735774040222]"
"[0.5984179377555847, 0.9599037766456604]"
"[0.6966850161552429, 0.9615305662155151]"
"[0.6646004915237427, 0.9610092043876648]"
"[0.5285301208496094, 0.962047278881073]"
"[0.9691272974014282, 0.9617486596107483]"
"[0.5085769891738892, 0.9604057669639587]"
"[0.6538903117179871, 0.959704577922821]"
"[0.6444424390792847, 0.9633280634880066]"
"[0.7028251886367798, 0.9612382650375366]"
"[0.5741441249847412, 0.9618815779685974]"
"[0.4965805411338806, 0.9640599489212036]"
"[0.8107997179031372, 0.9641513228416443]"
"[0.5902588367462158, 0.9588717818260193]"
"[0.700221598148346, 0.9654654860496521]"
"[0.7345348000526428, 0.9608557820320129]"
"[0.47655293345451355, 0.9594054222106934]"
"[0.7051728367805481, 0.9641902446746826]"
"[0.77696692943573, 0.962152898311615]"
"[0.4914311170578003, 0.9611364603042603]"
"[0.6604858636856079, 0.9616881608963013]"
"[0.7030290365219116, 0.9610837697982788]"
"[0.47675785422325134, 0.9621259570121765]"
"[0.7178007364273071, 0.9615592360496521]"
"[0.5916690230369568, 0.9595596194267273]"
"[0.5274251699447632, 0.9633099436759949]"
"[0.5836308598518372, 0.9622812271118164]"
"[0.531207799911499, 0.96319979429245]"
"[0.6484177708625793, 0.961203932762146]"
"[0.5706605911254883, 0.9634304642677307]"
"[0.6621531248092651, 0.9656099677085876]"
"[0.7522810697555542, 0.9644854664802551]"
"[0.596954882144928, 0.9638961553573608]"
"[0.47514981031417847, 0.9634507894515991]"
"[0.7716417908668518, 0.9619952440261841]"
"[0.6787751317024231, 0.9630404710769653]"
"[0.6612985730171204, 0.9591323733329773]"
"[0.4873139560222626, 0.964097261428833]"
"[0.616468071937561, 0.9619367122650146]"
"[1.070785403251648, 0.9576878547668457]"
"[0.5530690550804138, 0.9581920504570007]"
"[0.6653795838356018, 0.9619411826133728]"
"[0.9275543093681335, 0.9625816345214844]"
"[0.46140050888061523, 0.9640077352523804]"
"[0.45748478174209595, 0.96387779712677]"
"[0.8085199594497681, 0.9592425227165222]"
"[0.640103816986084, 0.9594828486442566]"
"[0.6720574498176575, 0.9609721302986145]"
"[0.5443967580795288, 0.9621800780296326]"
"[0.6586846709251404, 0.9616094827651978]"
"[0.46255388855934143, 0.9614221453666687]"
"[0.45836472511291504, 0.9628470540046692]"
"[0.7239389419555664, 0.9646838307380676]"
"[0.8763009905815125, 0.9586214423179626]"
"[0.6420295238494873, 0.9622470736503601]"
"[0.5179542303085327, 0.9626269936561584]"
"[0.5867491960525513, 0.960352897644043]"
"[0.6308032870292664, 0.9583448767662048]"
"[0.5579676032066345, 0.9628368616104126]"
"[0.7503007650375366, 0.9610183238983154]"
"[0.5215840339660645, 0.9586572647094727]"
"[0.8822258710861206, 0.9639639854431152]"
"[0.6261930465698242, 0.95865398645401]"
"[0.5416637063026428, 0.9593621492385864]"
"[0.7607418894767761, 0.9628197550773621]"
"[0.516160249710083, 0.9627108573913574]"
"[0.6426779627799988, 0.9625487923622131]"
"[0.6353034973144531, 0.9621502161026001]"
"[0.7104053497314453, 0.9583333134651184]"
"[0.5467316508293152, 0.960488498210907]"
"[0.43961477279663086, 0.9625257849693298]"
"[0.526109516620636, 0.9615970253944397]"
"[0.6287238001823425, 0.9600646495819092]"
"[0.7177731394767761, 0.9611570835113525]"
"[0.5336952209472656, 0.9627158045768738]"
"[0.6230859756469727, 0.9624208211898804]"
"[0.5386636257171631, 0.9614010453224182]"
"[0.6942105889320374, 0.960875391960144]"
